        epoch,       train_loss,      train_loss_vfl,      train_loss_bbox,     train_loss_giou,     mAP/0.50:0.95,       mAP/0.50,        mAR/0.50:0.95
            0,         24.49978,             0.27001,              1.72756,             1.79923,           0.00000,        0.00001,              0.00015
            1,         23.09694,             0.35636,              1.50591,             1.75066,           0.00000,        0.00000,              0.00000
            2,         22.39094,             0.36996,              1.39719,             1.66136,           0.00000,        0.00000,              0.00000
            3,         22.60438,             0.43175,              1.44254,             1.62357,           0.00000,        0.00001,              0.00000
            4,         21.78229,             0.45804,              1.29598,             1.58229,           0.00000,        0.00001,              0.00000
